City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Acapulco,MX,78.8,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
353,Presidente Venceslau,BR,77.0,clear sky,-21.8761,-51.8439,K. Hotéis
354,Pak Phanang,TH,90.0,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
360,Cayenne,GF,80.6,light rain,4.9333,-52.3333,Hôtel Le Dronmi
365,Sibu,MY,82.4,light rain,2.3,111.8167,RH HOTEL (4 Star)
366,Luwuk,ID,84.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
373,Phaltan,IN,84.94,few clouds,17.9833,74.4333,Hotel New Vijay
377,Sumenep,ID,85.05,light rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
379,Balikpapan,ID,83.32,overcast clouds,-1.2675,116.8289,ibis Balikpapan
380,Soyo,AO,79.88,overcast clouds,-6.1349,12.3689,Hotel Mpampa
383,Hervey Bay,AU,82.4,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
384,Turbana,CO,78.8,clear sky,10.2717,-75.4422,Cartagena Hills
388,Itoman,JP,77.0,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
403,Mersing,MY,82.4,scattered clouds,2.4312,103.8405,Timotel Hotel
404,Poum,NC,80.6,few clouds,-20.2333,164.0167,Gîte kajeon
406,High Rock,BS,75.2,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
407,Kalmunai,LK,80.56,overcast clouds,7.4167,81.8167,VS Villa
408,Nabire,ID,83.07,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
411,Lindi,TZ,72.25,moderate rain,-10.0,39.7167,Lindi paradise house
413,Sorong,ID,77.88,overcast clouds,-0.8833,131.25,The Waigo Hotel
424,Mount Isa,AU,89.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
435,Gua Musang,MY,89.22,overcast clouds,4.8823,101.9644,Mines Inn Hotel
437,Acacoyagua,MX,78.8,few clouds,15.35,-92.65,Finca TAJUKO
444,Kulhudhuffushi,MV,83.88,broken clouds,6.6221,73.07,Haajy Guest House 1
445,Pandan,PH,83.97,light rain,14.0453,124.1694,Bonifacio Lodge
448,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
452,Mackay,AU,84.2,overcast clouds,-21.15,149.2,International Lodge Motel
453,Mattru,SL,77.16,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
457,Fort Abbas,PK,85.06,clear sky,29.1925,72.8536,AsAd's House
461,Kavieng,PG,86.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
465,Robertsport,LR,79.03,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
468,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
470,Maningrida,AU,79.63,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
473,Manokwari,ID,83.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
475,Batangafo,CF,73.0,clear sky,7.3008,18.2833,OCHA Office
477,Iralaya,HN,78.84,clear sky,15.0,-83.2333,Iglesia morava renovada
481,Ternate,ID,81.84,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
482,Chamba,IN,75.69,broken clouds,32.5667,76.1333,NotOnMap - Rafi's House
483,Sayaxche,GT,73.53,clear sky,16.5167,-90.1667,Hotel y Auto Hotel Arizona
486,Touros,BR,77.0,light rain,-5.1989,-35.4608,INN NEW HORIZON
488,Fare,PF,82.72,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
489,Linqiong,CN,75.99,clear sky,30.4159,103.4609,Tianlun Tanxianglou Hotel
498,Yanam,IN,82.4,haze,16.7333,82.2167,The Regency Hotel
500,Quang Ngai,VN,87.48,broken clouds,15.1167,108.8,Central Hotel
502,Gambela,ET,77.0,broken clouds,8.25,34.5833,Solomon Debebe Hotel
