City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Bani,DO,18.2833,-70.3333,75.0,82,6,1.99,clear sky
225,Iqaluit,CA,63.7506,-68.5145,10.4,85,90,4.61,light snow
226,Dicabisagan,PH,17.0818,122.4157,85.96,63,78,5.77,broken clouds
227,Tatarskaya Pishlya,RU,54.0608,44.8998,22.53,92,95,9.13,overcast clouds
228,Pechenga,RU,69.5259,31.1703,30.2,93,75,10.36,broken clouds
229,Kormilovka,RU,55.0026,74.1028,21.2,86,75,20.13,snow
230,Port-Gentil,GA,-0.7193,8.7815,77.23,86,100,11.59,moderate rain
231,Zunyi,CN,27.6867,106.9072,72.63,67,100,5.12,overcast clouds
232,Brae,GB,60.3964,-1.353,46.4,93,90,19.57,light intensity drizzle
233,Ponnani,IN,10.767,75.9252,82.4,83,75,2.3,broken clouds
234,Severo-Kurilsk,RU,50.6789,156.125,31.69,75,5,2.35,clear sky
235,Ejura,GH,7.3856,-1.3562,77.23,77,7,6.58,clear sky
236,Cabra,ES,37.4725,-4.4421,54.0,75,47,5.44,scattered clouds
237,College,US,64.8569,-147.8028,19.99,49,90,6.91,overcast clouds
238,Progreso,MX,21.2833,-89.6667,81.0,78,1,4.61,clear sky
239,Labuhan,ID,-6.8844,112.2051,84.85,70,93,2.15,overcast clouds
240,Clyde River,CA,70.4692,-68.5914,-5.8,84,90,2.3,light snow
241,Bengkulu,ID,-3.8004,102.2655,83.79,70,47,4.12,light rain
242,Vestmannaeyjar,IS,63.4427,-20.2734,31.98,64,81,22.64,broken clouds
243,Akhtanizovskaya,RU,45.32,37.1,41.0,81,7,8.95,clear sky
244,Yashkino,RU,55.8736,85.4265,30.2,86,75,4.47,light snow
245,Kieta,PG,-6.2167,155.6333,85.73,65,100,4.79,overcast clouds
246,Ukiah,US,39.1502,-123.2078,62.6,29,1,12.66,clear sky
247,Isangel,VU,-19.55,169.2667,83.57,71,49,8.16,light rain
248,Nador,MA,35.174,-2.9287,60.8,88,90,10.36,overcast clouds
249,Shenjiamen,CN,29.9576,122.298,59.76,82,0,10.22,clear sky
250,Christchurch,NZ,-43.5333,172.6333,82.99,28,2,9.22,clear sky
251,Buckingham,GB,51.9997,-0.9878,50.0,86,89,3.0,overcast clouds
252,Raichur,IN,16.2,77.3667,84.7,37,9,4.59,clear sky
253,Kashi,CN,39.4547,75.9797,53.6,37,40,4.47,scattered clouds
254,Carnarvon,AU,-24.8667,113.6333,86.0,62,0,11.5,clear sky
255,Port Augusta,AU,-32.5,137.7667,75.2,50,0,8.05,clear sky
256,Henties Bay,NA,-22.116,14.2845,59.0,92,0,1.01,clear sky
257,Dawson Creek,CA,55.7666,-120.2362,15.8,57,1,16.11,light snow
258,Portland,US,45.5234,-122.6762,43.0,56,40,12.66,light rain
259,Faya,SA,18.3851,42.4509,59.0,38,1,6.91,dust
260,Salalah,OM,17.0151,54.0924,73.4,38,0,5.75,clear sky
261,Yumen,CN,40.2833,97.2,52.99,34,96,16.82,overcast clouds
262,Newport Beach,US,33.6189,-117.9289,72.0,32,1,3.44,clear sky
263,Nizhnyaya Tavda,RU,57.6731,66.1725,23.52,90,96,9.95,overcast clouds
264,Coos Bay,US,43.3665,-124.2179,46.4,81,90,12.66,mist
265,Labytnangi,RU,66.6572,66.4183,-8.9,99,80,3.83,broken clouds
266,Jiaohe,CN,43.7286,127.3447,45.5,44,67,18.81,broken clouds
267,Nishihara,JP,26.1842,127.7558,77.0,83,75,5.75,mist
268,Padang,ID,-0.9492,100.3543,80.6,83,20,1.14,light rain
269,Kindu,CD,-2.95,25.95,68.65,97,99,1.68,overcast clouds
270,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,20,4.61,few clouds
271,Elko,US,41.0002,-115.5012,55.0,25,0,8.99,clear sky
272,Bangui,CF,4.3612,18.555,77.0,94,53,2.73,broken clouds
273,Rafaela,AR,-31.2503,-61.4867,61.0,74,75,3.83,broken clouds
274,Vanimo,PG,-2.6741,141.3028,87.44,58,92,6.11,overcast clouds
275,Haines Junction,CA,60.7522,-137.5108,24.8,33,71,5.75,broken clouds
276,Gallipoli,TR,40.4103,26.6708,41.0,87,0,8.05,clear sky
277,Saint-Francois,FR,46.4154,3.9054,33.8,93,0,1.14,clear sky
278,Esperance,AU,-33.8667,121.9,95.0,18,0,11.5,clear sky
279,Honningsvag,NO,70.9821,25.9704,30.2,64,0,6.91,clear sky
280,Muyezerskiy,RU,63.9333,31.65,32.07,91,96,9.13,overcast clouds
281,Horsham,GB,51.064,-0.3272,48.2,87,40,10.36,scattered clouds
282,Lantawan,PH,10.6167,123.9833,86.0,74,75,8.05,broken clouds
283,Northam,GB,51.0333,-4.2167,48.99,93,47,17.0,scattered clouds
284,Kaitangata,NZ,-46.2817,169.8464,66.99,66,23,15.99,few clouds
285,Constanta,RO,44.1833,28.65,36.0,80,0,5.75,clear sky
286,Trofors,NO,65.5333,13.4063,41.0,81,90,12.66,overcast clouds
287,Utmanzai,PK,34.188,71.7629,69.8,64,20,9.22,haze
288,Airai,TL,-8.9266,125.4092,62.1,96,100,2.3,light rain
289,Porto Novo,BJ,6.4965,2.6036,82.4,83,40,9.22,scattered clouds
290,Yerbogachen,RU,61.2767,108.0108,24.93,90,100,3.24,overcast clouds
291,San Patricio,US,28.017,-97.5169,62.01,59,90,13.8,overcast clouds
292,Sagopshi,RU,43.4814,44.5875,39.2,93,100,2.24,light rain
293,Dijkot,PK,31.2167,72.9833,81.16,24,0,4.05,clear sky
294,Merauke,ID,-8.4667,140.3333,82.2,75,100,2.21,overcast clouds
295,Aksarka,RU,66.5606,67.7975,-13.43,99,84,0.72,broken clouds
296,Sandwick,GB,60.0,-1.25,46.4,93,90,19.57,light rain
297,Cuxhaven,DE,53.8718,8.6909,48.99,76,100,13.8,overcast clouds
298,Fengkou,CN,30.0833,113.2667,75.61,59,66,6.2,broken clouds
299,Vaitape,PF,-16.5167,-151.75,82.94,72,28,21.21,light rain
300,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.74,97,100,1.34,overcast clouds
301,Usinsk,RU,65.9939,57.5281,28.51,98,100,6.78,light snow
302,Grand-Lahou,CI,5.1367,-5.0242,77.72,92,17,8.57,few clouds
303,Chake Chake,TZ,-5.2459,39.7666,79.3,81,40,2.73,scattered clouds
304,Chippewa Falls,US,44.9369,-91.3929,34.0,64,1,4.14,clear sky
305,Micomeseng,GQ,2.1462,10.6164,69.24,98,100,1.34,overcast clouds
306,Nikolskoye,RU,59.7035,30.7861,37.4,87,0,2.24,clear sky
307,Calvillo,MX,21.85,-102.7167,69.8,40,1,12.66,clear sky
308,Basco,PH,20.4487,121.9702,79.16,78,37,0.74,scattered clouds
309,Geraldton,AU,-28.7667,114.6,93.2,26,0,5.75,clear sky
310,Staveley,GB,53.2667,-1.35,54.0,83,100,3.0,overcast clouds
311,Uyemskiy,RU,64.4743,40.8524,33.8,75,20,4.47,few clouds
312,Magdagachi,RU,53.45,125.8,35.28,88,100,5.21,overcast clouds
313,Te Anau,NZ,-45.4167,167.7167,65.48,57,21,3.8,few clouds
314,The Valley,AI,18.217,-63.0578,78.8,73,40,14.97,scattered clouds
315,Togur,RU,58.3631,82.8265,26.33,93,100,8.16,light snow
316,Namatanai,PG,-3.6667,152.4333,83.84,70,90,7.74,light rain
317,Opuwo,NA,-18.0607,13.84,68.4,56,9,2.3,clear sky
318,Bay Roberts,CA,47.5999,-53.2648,26.01,74,75,5.75,broken clouds
319,Saldanha,ZA,-33.0117,17.9442,62.6,67,100,2.3,overcast clouds
320,Powell,US,40.1578,-83.0752,39.99,75,40,5.75,scattered clouds
321,Mareeba,AU,-17.0,145.4333,89.01,50,100,8.99,overcast clouds
322,Ulladulla,AU,-35.35,150.4667,73.4,49,40,4.61,scattered clouds
323,Saint George,US,37.1041,-113.5841,68.0,24,1,5.75,clear sky
324,Viedma,AR,-40.8135,-62.9967,59.47,41,64,6.13,broken clouds
325,San Jeronimo,PE,-11.9472,-75.2829,50.74,85,100,2.42,overcast clouds
326,Freeport,US,40.6576,-73.5832,55.4,76,90,9.22,moderate rain
327,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,36.0,95,100,8.95,light rain
328,Voznesenye,RU,61.0106,35.4781,35.83,90,100,8.21,overcast clouds
329,Mandalgovi,MN,45.7625,106.2708,42.24,24,33,13.24,scattered clouds
330,Longyearbyen,SJ,78.2186,15.6401,24.8,86,20,13.8,few clouds
331,Moose Factory,CA,51.2585,-80.6094,15.8,79,20,12.66,few clouds
332,Aborlan,PH,9.4352,118.5492,87.8,58,75,4.61,broken clouds
